cvr_number,company_name,website,bucket,industry_code,industry_name,gdpr_sensitive,contactable,cms,hosting,ssl_valid,ssl_expiry,subdomain_count,findings_count
45195856,vejlebrand.dk,vejlebrand.dk,E,651200,,True,True,,Unknown,True,2026-09-30,0,4
39964619,vejlefriskole.dk,vejlefriskole.dk,A,852010,,True,True,WordPress,Unknown,True,2026-05-17,0,7
73964814,vejlekrisecenter.dk,vejlekrisecenter.dk,A,879990,,True,True,WordPress,Unknown,True,2026-05-04,0,7
12053576,vejleport.dk,vejleport.dk,A,522210,,False,True,WordPress,Unknown,True,2026-06-11,0,4
32882064,vejlespildevand.dk,vejlespildevand.dk,E,370000,,False,True,,Unknown,True,2026-10-20,0,4
57544511,vejletaxa.dk,vejletaxa.dk,A,821000,,True,True,WordPress,LiteSpeed,True,2026-06-14,0,7
38649310,vesterlund-efterskole.dk,vesterlund-efterskole.dk,C,853110,,False,True,Wix,Unknown,True,2026-04-21,0,3
38551914,vgc.dk,vgc.dk,D,931200,,False,True,,Unknown,True,2026-06-18,0,4
35889701,vindelovbyg.dk,vindelovbyg.dk,D,433200,,False,True,,Unknown,False,,0,5
26381703,vis-performance.dk,vis-performance.dk,A,622000,,True,True,WordPress,LiteSpeed,True,2026-06-17,0,7
35839186,vmc-vejle.dk,vmc-vejle.dk,E,953190,,True,True,,Cloudflare,True,2026-05-12,0,3
40119302,vorting.dk,vorting.dk,E,862300,,True,False,,Unknown,True,2026-05-04,0,4
12478305,weissenborn.dk,weissenborn.dk,A,255300,,True,True,WordPress,Unknown,True,2026-06-09,0,7
36499877,wellmore.dk,wellmore.dk,A,468300,,True,True,WordPress,Cloudflare,True,2026-05-24,0,7
34744971,worklivestay.dk,worklivestay.dk,E,949900,,True,True,,Unknown,True,2026-04-30,0,4
37150711,xella.com,xella.com,E,468300,,False,True,,Unknown,True,2026-04-05,0,2
